date,text,place,latitude,longitude
1702-10-07,"Great Northern War: Russian troops besiege the Swedish fortress of Nöteborg , and capture it after 15 days.",,,
1702-10-14,War of the Spanish Succession: Battle of Friedlingen – France defeats forces of the Holy Roman Empire .,Spanish,,
1702-10-18,"Queen Anne's War: Battle of Flint River – Spanish and Apalachee Indian forces fail in their attack against Creek Indians, supported by English traders, in the modern-day U.S. state of Georgia .",Flint River,,
1702-10-23,War of the Spanish Succession: Battle of Vigo Bay – Anglo-Dutch naval forces under English Admiral Sir George Rooke capture the defended Spanish port of Cádiz and take or destroy all the Spanish treasure fleet and escorting French warships there. Churchill forces the surrender of Liège .,Spanish,,
1702-10-27,"Queen Anne's War in North America: English troops plunder St. Augustine , Spanish Florida .",North,,
1702-11-10,"Queen Anne's War in North America: The Siege of St. Augustine opens as English forces besiege St. Augustine , Spanish Florida .",North,,
1702-11-22,The Dutch East India Company ship Amsterdam (1691) founders en route from Bombay to Basra during a storm with the loss of all hands.,,,
1702-12-30,Queen Anne's War : The Siege of St. Augustine in Spanish Florida is lifted.,Spanish Florida is lifted,,
1703-01-09,"The Jamaican town of Port Royal , a center of trade in the Western Hemisphere and at this time the largest city in the Caribbean , is destroyed by a fire. British ships in the harbor are able to rescue much of the merchandise that has been unloaded on the docks, but the inventory in market-places in town is destroyed.",Western Hemisphere and at this time the largest city in the Caribbean,,
1703-01-14,"1703 Apennine earthquakes : The magnitude 6.7 Norcia earthquake affects Central Italy with a maximum Mercalli intensity of XI ( Extreme ). With a death toll of 6,240–9,761, it is the first in a sequence of three destructive events.",XI,,
1703-01-16,"1703 Apennine earthquakes : The magnitude 6.2 Montereale earthquake causes damage at Accumoli, Armatrice, Cittareale and Montereale, with a maximum Mercalli intensity of VIII ( Severe ).",Accumoli,,
1703-02-02,"1703 Apennine earthquakes : The magnitude 6.7 L'Aquila earthquake affects Central Italy, with a maximum Mercalli intensity of X ( Extreme ). In the final large event (an example of Coulomb stress transfer ), damage occurs as far distant as Rome, with landslides, liquefaction, slope failures and at least 2,500 deaths.",X,,
1703-02-20,"March 10 – War of the Spanish Succession : Siege of Kehl – French forces under the command of the Duc de Villars capture the fortress of the Holy Roman Empire at Kehl , opposite Strasbourg on the Rhine .",Kehl,,
1703-03-01,"The Recruiting Act 1703 goes into effect in England, providing for the forcible enlistment of able-bodied but unemployed men into the English Army and Royal Navy in order to fight in Queen Anne's War in North America . The Act expires at the end of February 1704.",England,,
1703-03-19,"The Siege of Guadeloupe begins as an English expeditionary force, led by Christopher Codrington and Hovenden Walker , lands at Basse-Terre and attempts to take over the French-held island. The English fleet departs on May 15 after being unable to capture Guadeloupe.",Basse-Terre and attempts to take over the French-held island,,
1703-04-21,"The Company of Quenching of Fire (i.e., a fire brigade ) is founded in Edinburgh , Scotland.",Edinburgh,,
1703-06-15,Rákóczi's War of Independence : Hungarians rebel under Prince Francis II Rákóczi .,Independence,,
1703-06-19,"Bavarian troops, who during the so-called Bavarian Rummel have invaded Tyrol , besiege Kufstein . Fires break out on the outskirts that engulf the town, destroy it and reach the powder store of the supposedly impregnable fortress . The enormous gunpowder supplies explode and Kufstein has to surrender on June 20 . This same day the Tyrolese surrender in Wörgl ; two days later Rattenberg is captured and Innsbruck is cleared without a fight on June 25 .",,,
1703-06-30,"Battle of Ekeren (War of the Spanish Succession): The French surround a smaller Dutch force, which however breaks out and retires to safety.",Spanish,,
1703-07-26,"After their victories at the Pontlatzer Bridge and the Brenner Pass , Tyrolese farmers drive out the Bavarian Elector, Maximilian II Emanuel , from North Tyrol and thus prevent the Bavarian Army, which is allied with France, from marching on Vienna during the War of the Spanish Succession. This success, at low cost, is the signal for the rebellion of the Tyrolese against Bavaria, and Elector Maximilian II Emanuel has to flee from Innsbruck. The Bavarian Army withdraws through Seefeld in Tirol back to Bavaria.",Tirol back to Bavaria,,
1703-09-07,"War of the Spanish Succession : The town of Breisach is retaken for France by Camille d'Hostun, duc de Tallard .",Spanish Succession,,
1703-09-12,"War of the Spanish Succession : Habsburg Archduke Charles is proclaimed King of Spain, but never exercises full rule.",Spanish Succession,,
1703-10-11,"Nine Roman Catholic residents of the French village of Sainte-Cécile-d'Andorge are massacred by a mob of more than 800 French Huguenot Protestants, the Camisards . A reprisal against Protestants in the nearby village of Branoux is made less than three weeks later.",French village of,,
1703-10-30,"More than 47 Huguenots in the village of Branoux-les-Taillades are massacred by Roman Catholic vigilantes in reprisal for the October 11 attack on nearby Sainte-Cécile, slightly more than two miles away.",Branoux-les-Taillades are massacred by Roman Catholic vigilantes in reprisal for the October 11 attack on nearby,,
1703-12-07,"10 (November 26–29 O.S. ) – The Great Storm of 1703 , an extratropical cyclone , ravages southern England and the English Channel , killing at least 8,000, mostly at sea. The Eddystone Lighthouse off Plymouth is destroyed in the storm together with its designer Henry Winstanley and many buildings on land are damaged.",Plymouth is destroyed in the storm together with its designer Henry Winstanley and many buildings on land are damaged,,
1704-01-25,"26 – Apalachee massacre : English colonists from the Province of Carolina , and their native allies, stage a series of brutal raids against a largely pacific population of Apalachee , in Spanish Florida .",Spanish Florida,,
1704-02-29,"Raid on Deerfield ( Queen Anne's War ): French Canadians and Native Americans sack Deerfield, Massachusetts , killing over 50 English colonists.",,,
1704-03-07,"War of the Spanish Succession : Prince Karl of Habsburg , brother of Joseph I, the Holy Roman Emperor and a pretender to the throne of Spain , arrives in Portugal on the English warship HMS Royal Katherine as part of George Rooke 's English fleet sailing into Lisbon .",Portugal on the English warship HMS Royal Katherine as part of George Rooke 's English fleet sailing into Lisbon,,
1704-03-23,"War of the Spanish Succession : The English Navy ships HMS Kent , HMS Bedford and HMS Antelope intercept two newly-built Spanish warships, Porta Coeli and Santa Teresa off of the coast of Cape Spartel , as the Spaniards attempt to sail into the Strait of Gibraltar . The two Spanish ships are captured after a seven-hour battle and taken toward Lisbon , but the Santa Teresa sinks along the way.",Spanish Succession,,
1704-04-21,Battle of Biskupice : The Hungarians ( Kurucs ) win a costly victory over the Danes .,Biskupice,,
1704-05-28,Battle of Smolenice : Kuruc rebels defeat the Austrian army and its allies.,Smolenice,,
1704-06-13,"Battle of Koroncó : Austrians and their allies from Denmark, Prussia , Croatia , Germany and Vojvodina defeat the Kurucs.",,,
1704-07-12,"Great Northern War – King Charles XII of Sweden forces the election of his ally Stanisław Leszczyński as King of Poland , in place of Augustus II the Strong .",Sweden forces the election of his ally,,
1704-08-07,Battle of Orford Ness .,Orford Ness,,
1704-09-08,War of the Spanish Succession – The Twelfth Siege of Gibraltar by French and Spanish troops begins.,Spanish Succession,,
1704-09-12,"War of the Spanish Succession : The siege of the French-held German town of Landau , by Holy Roman Empire troops under the command of Ludwig Wilhelm von Baden-Baden begins and lasts for more than ten weeks before the French surrender on November 23 . During the siege, the Holy Roman Emperor Joseph I visits the area in a newly-developed vehicle, a convertible horse-drawn carriage that has a removable roof. The style of vehicle itself is later called a "" landau "".",Spanish Succession,,
1704-10-28,"Great Northern War : The Battle of Poniec takes place as King Charles XII leads Swedish troops in pursuit of the Saxon Army commanded by General Johann von der Schulenburg . The Swedes are forced to retreat despite surrounding the Saxons, and Schulenburg's troops escape.",Saxon Army commanded by General Johann von der Schulenburg,,
1704-11-11,"Twelfth Siege of Gibraltar : A Spanish Bourbon special forces battalion, guided by Simon Susarte, scales the steepest side of the Rock of Gibraltar in an attempt to surprise the British defenders, and kills the English sentries who have been manning the lookout. The attack is foiled the next day when a drummer boy, who was bringing food to the sentries, spots the invaders and raises the alarm.",Rock of Gibraltar in an attempt to surprise the British defenders,,
1704-12-06,"Battle of Chamkaur : During the Mughal-Sikh Wars, an outnumbered Sikh Khalsa defeats a Mughal army.",Chamkaur,,
1705-02-07,"Twelfth siege of Gibraltar : Marshal René de Froulay de Tessé of the French Army supplements the Spanish forces of the Marquis of Villadarias and seizes control of a strategic fortress, the Round Tower, but the forces retreat after a counterattack kills 200 of their number in the retaking of the Tower.",French Army supplements the Spanish forces of the Marquis of Villadarias and seizes control of a strategic fortress,,
1705-02-26,"Twelfth siege of Gibraltar: A French Navy fleet of 18 warships, commanded by Admiral Desjean, the Baron de Pointis arrives in the Bay of Gibraltar to aid the French and Spanish attempt to retake Gibraltar from England.",Bay of Gibraltar to aid the French and Spanish attempt to retake Gibraltar from England,,
1705-06-20,The Pact of Genoa is signed by representatives of England and the Spanish Principality of Catalonia as a military alliance providing for English troops to be stationed in Catalonia as part of the War of Spanish Succession .,Catalonia as part of the War of Spanish Succession,,
1705-07-18,"War of the Spanish Succession : The Battle of Elixheim is fought near the city of Tienen (in modern-day Belgium). A troop of soldiers under the command of England's Duke of Marlborough kills 3,000 French troops under the command of the Duc de Valleroy and forces the retreat of the others, breaking the ""Lines of Brabant"". Because his soldiers have marched all night and then fought the battle over a full day, Marlborough is unable to send them in pursuit of Villeroy's troops.",Spanish Succession,,
1705-07-26,"Great Northern War : At the Battle of Gemauerthof , fought in modern-day Latvia , Swedish forces under the command of General Adam Ludwig Lewenhaupt overwhelm a much larger force of Russian troops commanded by Count Boris Sheremetev , killing 2,000 Russians and wounding as many as 3,000.",Battle of Gemauerthof,,
1705-07-31,"The Battle of Warsaw is fought near Warsaw, Poland, in the Great Northern War .",Warsaw,,
1705-08-16,"18 – In an Atlantic tropical cyclone across Cuba and Florida, four ships are lost and there are many casualties.",,,
1705-08-31,"September 5 – War of the Spanish Succession : The Siege of Zoutleeuw is carried out by the alliance of Dutch, English, Scottish and Holy Roman Empire troops against the French-held fortress of Zoutleeuw (in modern-day Belgium).",Spanish Succession,,
1705-09-17,"First Javanese War of Succession : On the island of Java in the Dutch East Indies (modern-day Indonesia ), Pakubuwono I becomes the new Sultan of Martaram , capturing Kartosuro and deposing Sultan Amangkurat III .",Dutch East Indies,,
1705-11-15,Battle of Zsibó : The Austrian - Danish forces defeat the Kurucs ( Hungarians ).,,,
1705-11-24,"An earthquake is recorded in Syria , northeast of Damascus .",Syria,,
1705-11-28,The Treaty of Warsaw is concluded between the Swedish Empire and the faction of the Polish–Lithuanian Commonwealth loyal to Stanisław Leszczyński during the Great Northern War .,Warsaw is concluded between the Swedish Empire and the faction of the,,
1705-12-13,"In the Battle of Saint Gotthard , the Hungarian army is victorious.",Saint Gotthard,,
1705-12-26,"Fateh Singh and Zorawar Singh , sons of Guru Gobind Singh , are murdered by Wazir Khan for refusing to convert to Islam, and become hallowed martyrs in Sikhism.",Sikhism,,
1706-02-13,"Great Northern War – Battle of Fraustadt : Outnumbered more than 4 to 1 in infantry troops, and more than 2 to 1 overall, Swedish troops under the command of General Carl Gustaf Rehnskiöld defeat a larger force of 20,000 Russian and Saxon infantry and cavalry.",Fraustadt,,
1706-04-10,The Battle of Grodno ends with a Swedish victory over Russian troops.,Grodno ends with a Swedish victory over Russian troops,,
1706-04-27,"War of the Spanish Succession : After a siege of 14 days , a French and Spanish army retakes control of Barcelona , which had been captured by England's army in 1705.",Spanish Succession,,
1706-05-23,"War of the Spanish Succession – Battle of Ramillies : English, Dutch, German, Swiss and Scottish troops led by John Churchill, 1st Duke of Marlborough , defeat Franco-Bavarian forces in the Low Countries.",Low Countries,,
1706-06-28,"War of the Spanish Succession : Troops dispatched from Portugal capture Madrid and proclaim the Habsburg dynasty's Archduke Charles of Austria to be the King Carlos III of Spain, after the Bourbon ruler, Philip V , has fled.",Spanish Succession,,
1706-08-04,War of the Spanish Succession : The Spanish Bourbon armies of King Philip V retake Madrid from the Portuguese and Habsburg Austria troops that had entered the city in June.,June,,
1706-09-07,War of the Spanish Succession – Battle of Turin : Forces of Austria and Savoy defeat the French near what is now the Italian city of Torino.,Spanish Succession,,
1706-11-06,"A British attempt to conquer the Canary Islands fails when a fleet of 12 Royal Navy warships, commanded by Admiral John Jennings is forced to retreat after being met by a heavy artillery attack while sailing into Santa Cruz Bay",,,
1707-02-04,"Great Northern War : Eighteen months after losing the Battle of Warsaw , while leading a cavalry charge for Saxony against the army of Sweden , General Otto von Paykull of Swedish Livonia is beheaded outside of Stockholm , following his conviction for treason.",Warsaw,,
1707-05-08,"The siege of Játiva within the Spanish kingdom of Valencia begins as 9,000 Castilian and French troops, at the direction of King Philip V attack Játiva, defended by troops of the Kingdom of Aragon . Játiva (now Xàtiva ) falls on June 6.",Kingdom of Aragon,,
1707-05-23,The volcanic eruption in the Santorini caldera begins.,Santorini caldera begins,,
1707-06-06,"The soldiers and officers defending the Aragonese city of Játiva are massacred after a larger force of Castilian troops breaks through the walls at the end of a 30-day siege . The rest of the town's residents are deported, and most of the dwellings are burned, with the area being renamed ""San Felipe"".",,,
1707-06-08,"Less than three months after proclaiming himself to be the new Emperor of India , Muhammad Azam Shah and his three sons are killed in a battle by his troops led by his half-brother Muhammad Mu'azzam",India,,
1707-07-29,"August 21 – War of the Spanish Succession – Battle of Toulon : The Allies are obliged to withdraw, but the French fleet is effectively put out of action.",Spanish Succession,,
1707-09-18,"October 4 – War of the Spanish Succession : The siege of the fortress of Ciudad Rodrigo , led by troops under the command of Alexandre Maître , begins and lasts for 16 days. On the final day, General Maitre begins the attack that takes the fortress within 45 minutes.",Spanish Succession,,
1707-09-30,"War of the Spanish Succession : the conquest by Austrian troops, of the Italian peninsula city state of Gaeta , is accomplished after a three-month siege led by General Wirich Philipp von Daun .",Spanish Succession,,
1707-10-22,"Scilly naval disaster : Four British Royal Navy ships run aground in the Isles of Scilly , because of faulty navigation . Admiral Sir Cloudesley Shovell and at least 1,450 sailors all drown.",Isles of Scilly,,
1707-10-28,"The Hōei earthquake (the most powerful in Japan until 2011 ) strikes, with an estimated local magnitude of 8.6 and kills at least 5,000 people.",Japan until 2011,,
1707-11-30,"War of the Spanish Succession : The Siege of Pensacola ends, with the Spanish successfully defending their fort.",Spanish Succession,,
1707-12-16,The last recorded eruption of Mount Fuji begins in Japan.,Japan,,
1708-01-07,Bashkir rebels besiege Yelabuga .,,,
1708-03-23,"James Francis Edward Stuart , Jacobite pretender to the throne of Great Britain, unsuccessfully tries to land from a French fleet in the Firth of Forth in Scotland.",Firth of Forth in Scotland,,
1708-04-28,"The Great Hoei fire breaks out in Kyoto , Japan, destroying the Imperial Palace and a large portion of the old capital.",Kyoto,,
1708-06-08,"War of Spanish Succession : Wager's Action , a naval confrontation, takes place between a British squadron under Charles Wager and the Spanish treasure fleet off Cartagena in the Caribbean Sea . Spanish galleon San José explodes and sinks with the loss of almost all her 600 crew and an estimated 8.8 million ounces troy weight in gold.",Cartagena in the Caribbean Sea,,
1708-07-11,"War of the Spanish Succession – Battle of Oudenarde : Allied forces under the command of John Churchill, 1st Duke of Marlborough , defeat the French.",Spanish Succession,,
1708-08-03,"In the Battle of Trenčín , 8,000 soldiers of the Imperial Army of the Habsburgs are victorious over the 15,000 Hungarian Kuruc forces of Francis II Rákóczi .",Imperial Army of the Habsburgs are victorious over the 15,,
1708-08-18,War of the Spanish Succession: Menorca is captured by British forces.,Spanish,,
1708-10-12,"War of the Spanish Succession : British forces capture Lille after a two-month siege, although the citadel continues to hold out for another six weeks.",Spanish Succession,,
1709-01-01,"Battle of St. John's : The French capture St. John's , the capital of the British colony of Newfoundland .",British colony of Newfoundland,,
1709-06-26,"The Battle of Fort Albany , an attack by 100 French colonial volunteers and Cree natives on the British Hudson's Bay Company outpost at Fort Albany on Hudson Bay . John Fullartine , commander of the post, leads a successful defense of the fort and 18 of the attackers are killed and then retreat. The site is now part of a Cree First Nation reserve in the Canadian province of Ontario .",Canadian province of Ontario,,
1709-07-30,"War of the Spanish Succession : Tournai is captured by John Churchill, 1st Duke of Marlborough and Prince Eugene of Savoy .",Spanish Succession,,
1709-10-09,War of the Spanish Succession : The British army captures Mons .,Spanish Succession,,
1709-10-14,"The Chinese region of Ningxia is shaken by a 7.5 earthquake killing more than 2,000 people.",Ningxia is shaken by a 7,,
1710-05-12,"Battle of Sirhind : An army of 70,000 Sikh rebels , led by Banda Singh Bahadur defeat a force of 25,000 Mughal Empire troops commanded by General Wazir Khan , who is killed in the combat. The battle takes place near Sirhind in what is now the Indian state of Punjab .",Sirhind in what is now the Indian state of Punjab,,
1710-07-27,The Battle of Almenar takes place in the Iberian theatre of the War of the Spanish Succession .,Iberian theatre of the War of the Spanish Succession,,
1710-08-02,"British Royal Navy 90-gun ship HMS Vanguard is relaunched from Chatham ; Vanguard sank in Chatham Dockyard in the Great Storm of 1703 , but was raised in 1704 for rebuilding.",Great Storm of 1703,,
1710-08-20,"War of the Spanish Succession – Battle of Saragossa : The Spanish-Bourbon army, commanded by the Marquis de Bay , is soundly defeated by the forces of the Habsburg monarchy , under Guido Starhemberg and their allies.",Spanish Succession,,
1710-09-26,"Great Northern War – Capitulation of Livonia : the Swedish garrison in Riga surrenders, ending Swedish rule in modern Latvia .",Riga surrenders,,
1710-10-04,Great Northern War – the Battle of Køge Bay between Denmark and Norway has an indecisive outcome.,,,
1710-10-05,"October 13 British forces under Francis Nicholson conduct the successful Siege of Port Royal against a French Acadian garrison and the Wabanaki Confederacy at the Acadian capital, Port Royal , marking the start of British control of what became Nova Scotia .",Acadian capital,,
1710-10-10,"Great Northern War – Capitulation of Estonia : the Swedish garrison in Reval (Tallinn) surrenders, ending Swedish rule in Estonia .",Reval,,
1710-10-11,The Battle of Rahon is fought between Sikhs and Mughal Empire .,Rahon is fought between Sikhs and Mughal Empire,,
1710-10-13,"Queen Anne's War – Siege of Port Royal : The French surrender, giving the British permanent possession of Nova Scotia .",Port Royal,,
1710-11-30,"The first visit to the Pacific islands of Palau is made by a Jesuit expedition led by Francisco Padilla; unfortunately, the ship is driven to Mindanao by a storm, leaving two priests stranded.",Palau is made by a Jesuit expedition led by Francisco,,
1710-12-08,War of the Spanish Succession – Battle of Brihuega : An outnumbered British force under James Stanhope is forced to surrender.,Spanish Succession,,
1711-04-17,"Joseph I, Holy Roman Emperor dies, opening the way for the succession of his brother Charles VI . This complicates the ongoing War of the Spanish Succession as Charles is one of the two candidates for the Spanish throne, backed by the Grand Alliance .",Spanish Succession as Charles is one of the two candidates for the Spanish throne,,
1711-05-25,"In Denmark, Helsingør is put under military blockade to prevent an outbreak of plague from spreading to Copenhagen; this year about one third of Helsingør's population is killed by the disease.",,,
1711-08-09,"John Churchill, 1st Duke of Marlborough with an army of 30,000 besieges Bouchain in the War of the Spanish Succession . The siege lasts 34 days and results in the last major victory for Churchill.",War of the Spanish Succession,,
1711-08-22,"The Quebec Expedition , a British attempt to attack Quebec as part of Queen Anne's War , fails when 8 of its ships are wrecked in the Saint Lawrence River and 890 people, mostly soldiers, drown.",Saint Lawrence River and 890 people,,
1711-09-22,"The Tuscarora War begins when Tuscarora natives under the command of Chief Hancock raid settlements along the south bank of the Pamlico River, within the Province of Carolina (modern-day North Carolina), killing around 130 people.",Pamlico River,,
1711-11-05,"The southwest spire of Southwell Minster in Nottinghamshire , England is struck by lightning, resulting in a fire that spreads to the nave and tower, destroying roofs, bells, clock and organ.",Nottinghamshire,,
1711-12-05,Great Northern War : the Battle of Wismar results in a Danish victory over Swedish forces.,Wismar results in a Danish victory over Swedish forces,,
1711-12-25,The rebuilding of St Paul's Cathedral in London to a design by Sir Christopher Wren is declared complete by Parliament; Old St Paul's had been destroyed by the 1666 Great Fire of London .,London to a design by Sir Christopher Wren is declared complete by,,
1712-04-11,"Great Northern War : the Battle of Fladstrand takes place at sea near Fladstrand , Jylland , between Swedish and Danish forces.",Fladstrand,,
1712-07-20,"Jesus College, Oxford , England, inherits the extensive library of its Principal Jonathan Edwards on his death.",,,
1712-08-11,"The Peace of Aarau is signed by Catholics and Protestants , ending the Toggenburg War and establishing Protestant dominance in Switzerland , while preserving the rights of Catholics.",Switzerland,,
1712-09-08,"A severe hurricane buffets Bermuda for eight hours, destroying most of the churches.",,,
1712-10-03,In Scotland a warrant is issued for the arrest of outlaw Rob Roy MacGregor by Sir James Stewart (Lord Advocate) .,,,
1712-12-20,"Great Northern War : the Battle of Gadebusch is Sweden's final great victory in the war, preventing the loss of the city of Stralsund to Danish and Saxon forces.",Gadebusch is Sweden's final great victory in the war,,
1713-01-17,"Tuscarora War : Colonel James Moore leads the Carolina militia out of Albemarle County, North Carolina , in a second offensive against the Tuscarora. Heavy snows force the troops to take refuge in Fort Reading, on the Pamlico River .",Albemarle County,,
1713-02-04,"Tuscarora War: The Carolina militia under Colonel James Moore leaves Fort Reading, to continue the campaign against the Tuscarora.",,,
1713-03-01,"Tuscarora War: Colonel James Moore's Carolina militia lays siege to the Tuscaroran stronghold of Fort Neoheroka , located a few miles up Contentnea Creek from Fort Hancock.",Fort Neoheroka,,
1713-03-20,Tuscarora War: Colonel James Moore's Carolina militia launches a major offensive against Fort Neoheroka.,,,
1713-03-23,"Tuscarora War: Fort Neoheroka falls to the Carolina militia, effectively ending the Tuscarora nation's military strength. Two Tuscaroran allies, the Machapunga and Coree tribes, continue offensive actions against North Carolina .",,,
1713-04-11,"The Second Treaty of Utrecht between Great Britain and France ends the War of the Spanish Succession . France cedes Newfoundland , Acadia , Hudson Bay and St Kitts to Great Britain.",Spanish Succession,,
1713-05-02,"In the Great Northern War , a fleet of the Russian Navy, transporting 12,000 soldiers, sails from Kronstadt to attack the Swedish Army at Helsinki .",Helsinki,,
1713-05-21,"Great Northern War : The Russian fleet lands a force of 10,000 men at Pernå on the southern coast of Finland.",,,
1713-07-09,The Junta de Braços (parliament) of the Principality of Catalonia votes in favour of staying in the War of the Spanish Succession against Philip V of Spain . Army of Catalonia raised.,War of the Spanish Succession against Philip V of Spain,,
1713-07-13,The Treaty of Portsmouth brings an end to Queen Anne's War .,Portsmouth brings an end to Queen Anne's War,,
1713-09-01,"Tuscarora War: The Carolina militia, led by Colonel James Moore, returns to South Carolina, after mixed success in the campaign against the Machapunga and Coree tribes.",,,
1713-10-06,"The Treaty of Schwedt is signed between Russia and Brandenburg-Prussia , with the latter accepting the annexation of Baltic territories and paying Russia expenses in return for the southern part of Pomerania , recently taken from Sweden in the Great Northern War .",Great Northern War,,
1713-10-17,"The Battle of Pälkäne is fought in what is now Finland between Russia and Sweden, with Russia's Fyodor Arpaskin forcing Finnish troops under Carl Gustaf Armfeldt to withdraw.",,,
1713-12-09,"As part of the agreements made at Utrecht to end the War of the Spanish Succession , Great Britain and Spain sign a treaty of commerce and navigation.",Utrecht to end the War of the Spanish Succession,,
1713-12-10,"The rebellion of Richard Raworth, Deputy Governor of Fort St. David (now abandoned and in the Indian state of Tamil Nadu near Cuddalore ), against the British East India Company comes to an end after two months when forces sent by Bridish Madras Governor Edward Harrison to negotiate a settlement allowing Raworth to surrender in return for amnesty.",Cuddalore,,
1714-01-21,"After being tricked into deserting a battle against India's Mughal Empire by the rebel Sayyid brothers , Prince Azz-ud-din Mirza is blinded on orders of the Emperor Farrukhsiyar as punishment.",Emperor Farrukhsiyar as punishment,,
1714-02-07,"The Siege of Tönning (a fortress of the Swedish Empire and now located in Germany in the state of Schleswig-Holstein ) ends after almost a year, as Danish forces force the surrender of the remaining 1,600 defenders. The fortress is then leveled by the Danes.",Germany in the state of Schleswig-Holstein,,
1714-03-02,"(February 19 old style) The Battle of Storkyro is fought between troops of the Swedish Empire and the Russian Empire, near what is now the village of Napue in Finland . The outnumbered Swedish forces, under the command of General Carl Gustaf Armfeldt , suffer 1,600 troops killed in action while the Russians led by General Mikhail Golitsyn lose 400 men.",Finland,,
