date,event
1503-01-20,Seville in Castile is awarded exclusive rights to trade with the New World.
1503-01-24,"Construction of the Henry VII Chapel at Westminster Abbey begins in the perpendicular style, the final stage of English Gothic art."
1503-02-13,"Challenge of Barletta: Thirteen Italian knights defeat thirteen French knights, near Barletta."
1503-02-23,Third Italian War: Battle of Ruvo – The Spanish defeat the French in Italy.
1503-03-15,Portuguese explorer Vasco da Gama and sailors of his Portuguese India Armada become the first Europeans to sight the Seychelles islands as Thomé Lopes notes the discovery of what will later be called Silhouette Island.
1503-04-02,"The Kingdom of Cochin (ruled by a Portuguese-installed raja, Unni Ramman Koyil II in modern-day India's Kerala state) is invaded by 50,000 Nair troops of the Zamorin of Calicut."
1503-04-21,"Third Italian War: Battle of Seminara – Spanish forces under Fernando de Andrade de las Mariñas defeat the French under Bernard Stewart, 4th Lord of Aubigny, who is captured, in Calabria."
1503-04-28,"Third Italian War: Battle of Cerignola – Spanish forces under Gonzalo Fernández de Córdoba defeat the French under Louis d'Armagnac, Duke of Nemours, who is killed, in Apulia. This is considered to be the first battle in history won by gunpowder small arms."
1503-05-10,"Christopher Columbus discovers the Cayman Islands, which he names Las Tortugas, after the numerous sea turtles there."
1503-05-13,Naples is captured by the Spanish.
1503-05-20,"Ascension Island is first definitively sighted, by Portuguese admiral Afonso de Albuquerque."
1503-05-24,"The coronation of Moctezuma II as ruler of the Aztec Empire takes place at the Aztec capital of Tenochtitlan, part of modern-day Mexico City."
1503-05-28,"James IV of Scotland and Margaret Tudor of England are married as per the Treaty of Perpetual Peace by Pope Alexander VI, according to Papal bull."
1503-06-21,"Murad, the last Sultan of Aq Qoyunlu in modern-day eastern Turkey fights the Safavid King of Persia, Ismail I in a battle near the city of Hamadan, and suffers 10,000 casualties, including his commander Güzel Ahmad."
1503-06-23,"Representatives of King Henry VII of England and Queen Isabella of Spain sign a treaty for 12-year-old Henry, Prince of Wales to be married to Catherine of Aragon, widow of King Henry's son Arthur."
1503-06-25,"After his ships are damaged in a storm, Christopher Columbus and his 230 men are forced to beach at the island of Jamaica (at modern-day Saint Ann Parish) and remain stranded there for the next six months."
1503-06-27,The book The Imitation of Christ by Thomas à Kempis is re-published in an English translation.
1503-07-23,"Orbital calculations suggest that on this day Pluto moves outside Neptune 's orbit, remaining there for 233 years."
1503-07-30,"Saint Helena is first definitively sighted, by ships of Portuguese navigator Estêvão da Gama returning from the East."
1503-08-08,"King James IV of Scotland marries Margaret Tudor, daughter of King Henry VII of England, at Holyrood Abbey, Edinburgh, Scotland."
1503-08-18,"Pope Alexander VI dies after a reign of 11 years, and the largest gathering of cardinals up to that time— 21 from Italy, 11 from Spain and 7 from France— is called to Rome for a papal conclave, to start in September."
1503-08-20,"A previous treaty between Vladislaus II of Hungary and Bayezid II, which was finalized on June 11, goes into effect. The treaty suppresses warfare along the Hungarian-Ottoman border. Stephen III of Moldavia is also included in this treaty, but it preserves his nation's independence on the condition Moldavia pays an annual tribute to the Ottoman Empire."
1503-09-22,"Francesco Todeschini Piccolomini, Archbishop of Siena, is elected as the new Pope after the voting cardinals cannot decide between Georges d'Amboise of France or Giuliano della Rovere of Italy. Piccolomini takes the name of Pope Pius III but will reign for only 26 days."
1503-09-22,"Earliest record of Leonardo da Vinci working on a portrait of Lisa del Giocondo, probably the Mona Lisa, in Florence."
1503-10-01,"Fort Emmanuel is christened at Cochin after Afonso de Albuquerque obtained permission to be able to build it. It is the first European fort in India, in addition to being the first Portuguese fort."
1503-10-18,"Pope Pius III dies less than four weeks after being elected, prompting the calling of the second papal conclave in as many months."
1503-10-30,Queen Isabella I of Spain issues an edict prohibiting violence against indigenous peoples in the New World.
1503-11-01,"Cardinal Giuliano della Rovere, Bishop of Ostia, is elected the 216th Roman Catholic Pontiff at the end of the year's second papal conclave and takes the papal name Pope Julius II. Della Rovere had received 15 of 32 votes in the September voting for a plurality, but still short of a majority. Julius II reigns for a little more than nine years until his death in 1513."
1503-11-11,"Bernard Stewart, 4th Lord of Aubigny, commander of the defeated French forces and a prisoner of war since his April 21 defeat at the Battle of Seminara, is released from Castel Nuovo in Naples after a truce between France and Spain."
1503-11-29,"Pope Julius II, formerly Giuliano della Rovere, adds four new people to the College of Cardinals, including two members of his family, Clemente della Rovere and Galeotto della Rovere. By the time of his death, Julius will have added 27 cardinals to the Roman Catholic Church, five of them from the della Rovere family."
1503-12-29,"Third Italian War: The Battle of Garigliano takes place near Gaeta in Italy. Spanish forces under Gonzalo Fernández de Córdoba defeat a French–Italian mercenary army under Ludovico II, Marquess of Saluzzo; the French forces, who suffer 4,000 casualties, withdraw to Gaeta."
1504-01-01,"French troops of King Louis XII surrender Gaeta to the Spanish, under Gonzalo Fernández de Córdoba."
1504-01-21,"After the death of Sten Sture the Elder on December 14 the year before, Svante Nilsson is elected the new Regent of Sweden."
1504-01-31,"Treaty of Lyon: France cedes Naples to Ferdinand II of Aragon, who becomes King of Naples as Ferdinand III."
1504-02-14,King Ferdinand V of Castile contracts with Juan de la Cosa to finance an independent expedition to the Pearl Islands and the Gulf of Urabá.
1504-02-18,The investiture of Prince Henry of England as Prince of Wales and Earl of Chester takes place.
1504-02-29,"Christopher Columbus uses his knowledge of a lunar eclipse this night, to convince the indigenous Jamaican people to provide him with supplies (in Europe, the eclipse is in the early morning of March 1)."
1504-03-11,King James IV of Scotland opens the Scottish Parliament for the first time since 1496.
1504-03-16,"In what is now India's Kerala state, a second invasion of the Portuguese-supported Kingdom of Cochin by the Zamorin of Calicut takes place, beginning a war that lasts until July 3."
1504-03-30,The Eisho era begins in Japan during the reign of Emperor Go-Kashiwabara as the Bunki era ends.
1504-04-01,English guilds become subject to state control.
1504-04-23,"Maximilian I, Holy Roman Emperor grants the Landshut inheritance to Albert IV during the War of the Succession of Landshut. Maximilian would pronounce an imperial ban on Ruprecht on May 4, who Albert contested for the territory."
1504-05-24,"Le Hien Tong, Emperor of Vietnam, dies after a reign of six years and is succeeded by his 15-year-old son Le Tuc Tong."
1504-06-17,"Rao Bika Rathore, ruler of the Kingdom of Bikaner in India, dies after a reign of 32 years. For a brief time Bika is succeeded by his elder son Nara, but Nara quickly dies and Nara is succeeded by his brother Lunkaran."
1504-06-28,"After being marooned in Jamaica for six months, Christopher Columbus and his men are rescued by a Spanish ship."
1504-07-02,Bogdan III the One-Eyed becomes the new Prince of Moldavia upon the death of his father Stephen the Great.
1504-07-03,"The siege of Cochin in India by the invading forces of Calicut ends as the Portuguese and Cochin defenders defeat the invaders. Calicut loses 5,000 dead in battle and another 13,000 to disease, while Cochin and Portugal sustain minimal losses."
1504-07-07,"At the age of 16, Lê Túc Tông becomes the new Emperor of Vietnam (Dai Viet) after the death of his father, Lê Hiến Tông, but serves for only six months before dying."
1504-07-20,"Pope Julius II issues an order reforming the official coinage of the Papal States, raising the silver content of the carlino coin to four grams. In that the Pope was formerly Giuliano della Rovere, the new coin is called the giulio in his honor and features the coat of arms of the della Rovere family."
1504-08-19,"The Battle of Knockdoe is fought in Ireland's County Galway as 6,000 troops led by the English Lord Deputy of Ireland, Gerald FitzGerald, 8th Earl of Kildare assist Maelsechlainn mac Tadhg Ó Cellaigh, King of Uí Mháine, against 4,000 troops of Irish chieftain Ulick Fionn Burke, Lord of the Clanricarde lands. Burke had previously attacked and destroyed Ó Cellaigh's castles at Monivea, Castleblakeney and Garbally and sought Kildare's help. Kildare's forces win the battle."
1504-09-08,Michelangelo 's sculpture of David is unveiled in Florence.
1504-09-13,"Queen Isabella and King Ferdinand issue a Royal Warrant for the construction of Capilla Real, a Royal Chapel, to be built in Granada."
1504-09-22,"Treaty of Blois: Philip I of Castile, Maximilian I and Louis XII agree to terms."
1504-10-12,Isabella I of Castile signs her will and testament.
1504-11-07,"Christopher Columbus returns to Spain from his fourth voyage, during which he and his younger son, Ferdinand, explored the coast of Central America from Belize to Panama."
1504-11-26,"On the death of Isabella I of Castile, Catholic Queen of Castile and Aragon, the Crown of Castile passes to her daughter Joanna."
1504-12-08,"(approximate date) Islamic scholar Ahmad ibn Abi Jum'ah issues the Oran fatwa for Muslims in Spain (1 Rajab 910 AH in Islamic calendar, Gregorian date is approximate)."
1504-12-08,Lê Túc Tông dies after a reign of only six months as Emperor of Vietnam.
1504-12-24,"Nils Ravaldsson, the leader of the rebellion after Knut Alvsson 's death, is attacked and his resistance crushed at Olsborg Castle in Båhuslen."
1504-12-24,Babur besieges and captures Kabul.
1504-12-24,"Islamization of the Sudan region: A Funj leader, Amara Dunqas, founds the Sultanate of Sennar."
1504-12-24,The Signoria of Florence commissions both Leonardo da Vinci and Michelangelo to paint the walls of the Grand Council Chamber in the Palazzo Vecchio.
1504-12-24,"Sheikh Ahmed, the final leader of the Great Horde, is last heard of as a Lithuanian prisoner at Vilnius until 1527 when he was released, after which he came to rule over the Astrakhan Khanate."
1504-12-24,"The Council of Ten discusses the advisability of proposing a scheme of a Suez Canal to the Sultan of Egypt, at the time Al-Ashraf Qansuh al-Ghuri, but the discussion is eventually abandoned."
1504-12-24,Aldus Manutius publishes his edition of Demosthenes in Venice.
1504-12-24,"In Florence, Leonardo da Vinci and Niccolò Machiavelli become involved in a scheme to divert the Arno River, cutting the water supply to Pisa to force its surrender: Colombino, the project foreman, fails to follow da Vinci's design, and the project is a major failure."
1504-12-24,"Raphael paints The Marriage of the Virgin, which exemplifies some major principles of High Renaissance art."
1505-01-14,"Pope Julius II issues the papal bull Cum tam divino, decreeing a reform in the Roman Catholic Church to prohibit simony, the buying and selling of church offices ranging from bishops to the pope himself."
1505-01-23,Lunkaran begins his reign as the Rao of the Indian kingdom of Bikaner in what is now the Rajasthan state of India.
1505-01-24,"Under the terms of the Treaty of Tordesillas, Pope Julius II sets the line of demarcation in the New World between Spain's and Portugal's territory as a line of longitude 370 leagues west of the Cape Verde islands. The ambiguous definition of the measure of a league places the line between 42°30' W to 49°45' W."
1505-02-07,"During a visit to Windsor Castle as guests of King Henry VII of England, Philip the Handsome, Duke of Burgundy, plays a game of tennis against Thomas Grey, 2nd Marquess of Dorset in the first recorded use of tennis rackets. A year later, a chronicler notes that on the 7th of February, ""the kynge of Castelle played w the Rackete and gave the marques xv""."
1505-03-25,"Appointed as the Viceroy of Portuguese India by King Manuel I of Portugal, Dom Francisco de Almeida departs from Portugal with an armada of 22 ships and 1,500 men, according to one estimate by João de Barros."
